onset	duration	trial_type	disobedience	InstructionToButtonTime	InstructionToToneTime
-34.44	0.0	Unknown2	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown2	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
-34.44	0.0	Unknown1	n/a	n/a	n/a
0.0	0.0	FirstfMRITrigger	n/a	n/a	n/a
1.0300000000000011	0.0	FixationCross	n/a	n/a	n/a
6.630000000000003	0.5	AudioInstruction	n/a	3.740000000000002	4.659999999999997
6.630000000000003	0.5	Audio	n/a	n/a	n/a
6.630000000000003	0.5	AudioDontSendShock	n/a	n/a	n/a
9.160000000000004	0.0	Map2	n/a	n/a	n/a
10.370000000000005	0.0	Button	n/a	n/a	n/a
10.370000000000005	0.0	CommanderNoShock	n/a	n/a	n/a
10.720000000000002	1.5	WitnessNoShock	n/a	n/a	n/a
11.29	0.0	LogNoShock	n/a	n/a	n/a
